Question,Answer 1,Answer 2
"Організаційні помилки на роботі постійно змушують нервувати, напружуватися, хвилюватися.",Так,Ні
"Сьогодні я задоволений своєю професією не менше, ніж на початку кар'єри.",Так,Ні
"Я помилився у виборі професії чи профілю діяльності (займаю не своє місце).",Так,Ні
"Мене турбує те, що я став гірше працювати (менш продуктивно, менш якісно, повільніше).",Так,Ні
"Теплота у взаємодії з партнерами дуже залежить від мого настрою.",Так,Ні
"Від мене, як від професіонала, мало залежить добробут партнерів.",Так,Ні
"Коли я приходжу з роботи додому, то деякий час (години 2-3) мені хочеться побути па самоті, щоб зі мною ніхто не спілкувався.",Так,Ні
"Коли я відчуваю втому чи напруження, то намагаюся швидше вирішити проблеми партнера (згорнути взаємодію).",Так,Ні
"Мені здається, що емоційно я не можу дати колегам того, що потребує професійний обов'язок.",Так,Ні
"Моя робота притупляє емоції.",Так,Ні
"Я відверто втомився від людських проблем, з якими доводиться мати справу па роботі.",Так,Ні
"Трапляється, я погано засинаю (сплю) через хвилювання, пов'язані з роботою.",Так,Ні
"Взаємодія з партнерами потребує від мене великого напруження.",Так,Ні
"Робота з людьми приносить мені все менше задоволення.",Так,Ні
"Я б змінив місце роботи, якби з'явилась така можливість.",Так,Ні
"Мене часто засмучує те, що я не можу на потрібному рівні надати професійну підтримку, послугу, допомогу.",Так,Ні
"Мені завжди вдається запобігти впливу поганого настрою наділові контакти.",Так,Ні
"Мене дуже засмучує ситуація, коли щось не йде на лад у стосунках з діловим партнером.",Так,Ні
"Я так стомлююся на роботі, ию вдома намагаюся спілкуватися якомога менше.",Так,Ні
"Через брак часу, втому та напруження часто приділяю партнеру менше уваги, ніж потрібно.",Так,Ні
"Іноді звичні ситуації спілкування на роботі дратують мене.",Так,Ні
"Я спокійно сприймаю обгрунтовані претензії партнерів.",Так,Ні
"Спілкування з партнерами спонукає мене уникати людей.",Так,Ні
"При згадці про деяких партнерів та колег, у мене псується настрій.",Так,Ні
"Конфлікти та суперечки з колегами віднімають багато сил та емоцій.",Так,Ні
"Мені все складніше встановлювати або підтримувати контакти з діловими партнерами.",Так,Ні
"Обставини на роботі мені здаються дуже складними і важкими.",Так,Ні
"У мене часто виникають тривожні очікування, пов'язані з роботою: щось має трапитися, як би не припуститися помилки, чи зможу зробити все як потрібно, чи не скоротять мене тощо.",Так,Ні
"Якщо партнер мені неприємний, то я намагаюсь обмежити час спілкування з ним, менше приділяти йому уваги.",Так,Ні
"У спілкуванні па роботі я дотримуюся принципу «не роби людям добра — не отримаєш зла».",Так,Ні
"Я з радістю розповідаю домашнім про свого роботу.",Так,Ні
"Трапляються дні, коли мій емоційний стан погано відображається на результатах роботи (менше працюю, знижується якість, виникають конфлікти).",Так,Ні
"Іноді я відчуваю, що потрібно поспівчувати партнерові, але не в змозі цього зробити.",Так,Ні
"Я дуже хвилююся за свою роботу.",Так,Ні
"Партнерам по роботі віддаю більше уваги та турботи, ніж отримую від них вдячності.",Так,Ні
"При одній згадці про роботу мені стає погано: починає колоти в області серця, підвищується тиск, виникає головний біль.",Так,Ні
"У мене добрі (в цілому задовільні) стосунки з безпосереднім керівником.",Так,Ні
"Я часто радію, коли бачу, що моя робота приносить користь людям.",Так,Ні
"Останнім часом мене переслідують невдачі па роботі.",Так,Ні
"Деякі аспекти (факти) моєї роботи викликають розчарування, нудьгу і зневіру.",Так,Ні
"Трапляються дні, коли контакти з партнерами складаються гірше, ніж зазвичай.",Так,Ні
"Я переймаюся проблемами ділових партнерів (суб'єктів діяльності) менше, ніж зазвичай.",Так,Ні
"Втома від роботи призводить до того, що я намагаюся скоротити час спілкування з друзями та знайомими.",Так,Ні
"Зазвичай я виявляю зацікавленість особистістю партнера більше, ніж того вимагає справа.",Так,Ні
"Зазвичай я приходжу на роботу відпочивши, зі свіжими силами, в доброму настрої.",Так,Ні
"Іноді я ловлю себе на тому, що працюю з партнерами автоматично, без душі.",Так,Ні
"У справах зустрічаються настільки неприємні люди, що всупереч волі бажаєш їм чогось недоброго.",Так,Ні
"Після спілкування з неприємними партнерами в мене буває погіршення фізичного та психічного самопочуття.",Так,Ні
"На роботі я постійно відчуваю психічне та фізичне перевантаження.",Так,Ні
"Успіхи в роботі надихають мене.",Так,Ні
"Ситуація на роботі, в якій я опинився, здається безвихідною (майже безвихідною).",Так,Ні
"Я втратив спокій через роботу.",Так,Ні
"Впродовж останнього року траплялися скарги па мене з боку партнерів.",Так,Ні
"Мені вдається зберегти нерви тільки через те, що багато з того, що відбувається з партнерами, я не беру близько до серця.",Так,Ні
"Я часто з роботи приношу додому негативні емоції.",Так,Ні
"Я часто працюю через силу.",Так,Ні
"Раніше я був більш співчутливим та уважним до партнерів, ніж тепер.",Так,Ні
"У роботі з людьми керуюся принципом: не псуй нерви, бережи здоров'я.",Так,Ні
"Іноді я йду на роботу з важким відчуттям: як все набридло, нікого б не бачити й не чути.",Так,Ні
"Після напруженого робочого дня я відчуваю, що занедужав.",Так,Ні
"Контингент партнерів, з якими я працюю, дуже важкий.",Так,Ні
"Іноді мені здається, що результати моєї роботи не варті тих зусиль, які я витрачаю.",Так,Ні
"Якщо б мені поталанило з роботою, я був би набагато щасливішим.",Так,Ні
"Я у відчаї від того, що на роботі в мене серйозні проблеми.",Так,Ні
"Іноді я поводжуся зі своїми партнерами так, як би не хотів, щоб вони вчиняли зі мною.",Так,Ні
"Я засуджую партнерів, що розраховують на особливу поблажливість та увагу.",Так,Ні
"Зазвичай після робочого дня у мене не вистачає сил займатися домашніми справами.",Так,Ні
"Часто я підганяю час: швидше б закінчився робочий день.",Так,Ні
"Стан, прохання, потреби партнерів зазвичай мене щиро хвилюють.",Так,Ні
"Працюючи з людьми, я зазвичай ніби ставлю екран, що захищає мене від чужих страждань та негативних емоцій.",Так,Ні
"Робота з людьми (з партнерами) дуже розчарувала лене.",Так,Ні
"Щоб відновити сили, я часто вживаю ліки.",Так,Ні
"Як правило, мій робочий день проходить спокійно і легко.",Так,Ні
"Мої вимоги до виконуваної роботи вищі, ніж те, чого я досягаю через певні обставини.",Так,Ні
"Моя кар'єра склалася вдало.",Так,Ні
"Я дуже нервую з приводу того, що пов'язано з роботою.",Так,Ні
"Деяких із своїх постійних партнерів я не хотів би бачити й чути.",Так,Ні
"Я схвалюю колег, які повністю присвячують себе людям (партнерам), нехтуючи власними інтересами.",Так,Ні
"Моя втома на роботі зазвичай мало або взагалі не відображається па спілкуванні з домашніми і друзями.",Так,Ні
"За можливості, я віддаю партнерові менше уваги, але так, щоб він цього не помітив.",Так,Ні
"Мене часто підводять нерви в спілкуванні з людьми на роботі.",Так,Ні
"До всього (майже до всього), що відбувається тіа роботі, я втратив зацікавленість, живе почуття.",Так,Ні
"Робота з людьми погано вплинула на мене як на фахівця — зробила знервованим, злим, притупила емоції.",Так,Ні
"Робота з людьми вочевидь підриває моє здоров'я.",Так,Ні
